Sighting,Common Name,Scientific Name,Location,Date
611,American Kestrel,Falco sparverius,"054018, San Vicente, CO-Antioquia 6.25550, -75.33242",25-Feb-23
610,Golden-fronted Redstart,Myioborus ornatus,RN La Romera,11-Feb-23
609,Whiskered Wren,Pheugopedius mystacalis,RN La Romera,11-Feb-23
608,Streak-necked Flycatcher,Mionectes striaticollis,RN La Romera,11-Feb-23
607,Greenish Puffleg,Haplophaedia aureliae,RN La Romera,11-Feb-23
606,Green-fronted Lancebill,Doryfera ludovicae,RN La Romera,11-Feb-23
605,Chestnut Wood-Quail,Odontophorus hyperythrus,RN La Romera,11-Feb-23
604,Black Inca,Coeligena prunellei,Reinita Cielo Azul ProAves Reserve - Lodge,17-Jan-23
603,Guira Tanager,Hemithraupis guira,"Zapatoca - Betulia, Santander, CO (6.896, -73.366)",16-Jan-23
602,Slaty-capped Flycatcher,Leptopogon superciliaris,"Zapatoca - Betulia, Santander, CO (6.896, -73.366)",16-Jan-23
601,Bicolored Hawk,Accipiter bicolor,"Zapatoca - Betulia, Santander, CO (6.896, -73.366)",16-Jan-23
600,Brown-capped Vireo,Vireo leucophrys,"Vía sin nombre, Santander, CO (6.828, -73.327)",16-Jan-23
599,Pale-breasted Spinetail,Synallaxis albescens,"Zapatoca-Girón, Santander, CO (6.844, -73.25)",16-Jan-23
598,Indigo-capped Hummingbird,Saucerottia cyanifrons,"Zapatoca-Girón, Santander, CO (6.844, -73.25)",16-Jan-23
597,Apical Flycatcher,Myiarchus apicalis,Barichara,15-Jan-23
596,Philadelphia Vireo,Vireo philadelphicus,Jardin Botánico Eloy Valenzuela,13-Jan-23
595,Niceforo's Wren,Thryophilus nicefori,Loma Merchan,12-Jan-23
594,White-whiskered Puffbird,Malacoptila panamensis,Loma Merchan,12-Jan-23
593,Black-faced Grassquit,Melanospiza bicolor,Parque Ecológico La Flora,12-Jan-23
592,Yellow Oriole,Icterus nigrogularis,Parque Ecológico La Flora,12-Jan-23
591,Bar-crested Antshrike,Thamnophilus multistriatus,"Bizcocho, San Rafael CO-Antioquia 6.29912, -75.06899",14-Nov-22
590,Rufous Motmot,Baryphthengus martii,"Bizcocho, San Rafael CO-Antioquia 6.29912, -75.06899",14-Nov-22
589,Scaly-breasted Wren,Microcerculus marginatus,"Bizcocho, San Rafael CO-Antioquia 6.29912, -75.06899",13-Nov-22
588,Buff-rumped Warbler,Myiothlypis fulvicauda,"Antioquia, CO (6.298, -75.067)",12-Nov-22
587,Black-and-white Seedeater,Sporophila luctuosa,"Vía sin nombre, Antioquia, CO (6.262, -75.334)",8-Oct-22
586,Blue-black Grassquit,Volatinia jacarina,"Vía sin nombre, Antioquia, CO (6.262, -75.334)",8-Oct-22
585,Chestnut-fronted Macaw,Ara severus,Parque del Centenario,15-Jul-22
584,Russet-crowned Warbler,Myiothlypis coronata,Parque Arvi,2-Jul-22
583,Metallic-green Tanager,Tangara labradorides,Kantarrana Casa De Campo,27-Jun-22
582,Tropical Screech-Owl,Megascops choliba,Jardin Cock-of-the-Rock Lek,25-Jun-22
581,Northern Mockingbird,Mimus polyglottos,Yates Mill County Park,8-May-22
580,Black-capped Pygmy-Tyrant,Myiornis atricapillus,Sendero Rio Tundo,17-Apr-22
579,Black-crowned Antshrike,Thamnophilus atrinucha,Sendero Rio Tundo,17-Apr-22
578,Dusky Pigeon,Patagioenas goodsoni,Sendero Rio Tundo,17-Apr-22
577,Plain-colored Tanager,Tangara inornata,"276038, Solano Bay CO-Choco 6.11169, -77.43364",16-Apr-22
576,Thick-billed Seed-Finch,Sporophila funerea,Loma de La Virgen,15-Apr-22
575,Blue Dacnis,Dacnis cayana,Loma de La Virgen,15-Apr-22
574,Lemon-spectacled Tanager,Chlorothraupis olivacea,Loma de La Virgen,15-Apr-22
573,Choco Sirystes,Sirystes albogriseus,Loma de La Virgen,15-Apr-22
572,Golden-crowned Spadebill,Platyrinchus coronatus,Loma de La Virgen,15-Apr-22
571,Purple-throated Fruitcrow,Querula purpurata,Loma de La Virgen,15-Apr-22
570,Velvety Manakin,Lepidothrix velutina,Loma de La Virgen,15-Apr-22
569,White-ruffed Manakin,Corapipo altera,Loma de La Virgen,15-Apr-22
568,Chestnut-backed Antbird,Poliocrania exsul,Loma de La Virgen,15-Apr-22
567,Spot-crowned Antvireo,Dysithamnus puncticeps,Loma de La Virgen,15-Apr-22
566,Slaty-tailed Trogon,Trogon massena,Loma de La Virgen,15-Apr-22
565,Golden-headed Manakin,Ceratopipra erythrocephala,Jardín Botánico del Pacífico,14-Apr-22
564,Red-capped Manakin,Ceratopipra mentalis,Jardín Botánico del Pacífico,14-Apr-22
563,Yellow-throated Toucan,Ramphastos ambiguus,Jardín Botánico del Pacífico,14-Apr-22
562,Black-cheeked Woodpecker,Melanerpes pucherani,"Vía al Muelle, Solano Bay CO-Choco 6.23169, -77.41186",13-Apr-22
561,Sharp-shinned Hawk,Accipiter striatus,Parque Ecológico El Salado,19-Feb-22
560,Bluish-gray Saltator,Saltator coerulescens,"Vía Santa Marta - Riohacha, Santa Marta (Dist. ESP. ) CO-Magdalena 11.28449, -74.00467",28-Jan-22
559,Cocoa Woodcreeper,Xiphorhynchus susurrans,"Tayrona National Natural Park, Santa Marta (Dist. ESP. ) CO-Magdalena 11.33661, -73.99055",28-Jan-22
558,Plain-brown Woodcreeper,Dendrocincla fuliginosa,"Tayrona National Natural Park, Santa Marta (Dist. ESP. ) CO-Magdalena 11.33661, -73.99055",28-Jan-22
557,Carib Grackle,Quiscalus lugubris,"Tayrona National Natural Park, Santa Marta (Dist. ESP. ) CO-Magdalena 11.33661, -73.99055",27-Jan-22
556,Lance-tailed Manakin,Chiroxiphia lanceolata,"Tayrona National Natural Park, Santa Marta (Dist. ESP. ) CO-Magdalena 11.33661, -73.99055",27-Jan-22
555,Gray-breasted Martin,Progne chalybea,PNN Tayrona--Cabo San Juan a Pueblito,26-Jan-22
554,Ochre-bellied Flycatcher,Mionectes oleagineus,PNN Tayrona--Cabo San Juan a Pueblito,26-Jan-22
553,Plain Xenops,Xenops minutus,PNN Tayrona--Cabo San Juan a Pueblito,26-Jan-22
552,White-bellied Antbird,Myrmeciza longipes,PNN Tayrona--Cabo San Juan a Pueblito,26-Jan-22
551,White-tailed Kite,Elanus leucurus,"054018, San Vicente, CO-Antioquia 6.25550, -75.33242",1-Jan-22
550,Great Potoo,Nyctibius grandis,Centro Permacultural Cosmogenesis,22-Dec-21
549,Spectacled Parrotlet,Forpus conspicillatus,Centro Permacultural Cosmogenesis,22-Dec-21
548,Sunbittern,Eurypyga helias,Centro Permacultural Cosmogenesis,22-Dec-21
547,Blackpoll Warbler,Setophaga striata,Reserva Natural Rancho Camaná,22-Dec-21
546,Straight-billed Woodcreeper,Dendroplex picus,Reserva Natural Rancho Camaná,22-Dec-21
545,Black-crested Antshrike,Sakesphorus canadensis,Reserva Natural Rancho Camaná,22-Dec-21
544,Yellow-crowned Parrot,Amazona ochrocephala,"501027, Cumaral CO-Meta 4.22810, -73.40782",21-Dec-21
543,Fork-tailed Palm Swift,Tachornis squamata,"501027, Cumaral CO-Meta 4.22810, -73.40782",21-Dec-21
542,Plain-breasted Ground Dove,Columbina minuta,"501027, Cumaral CO-Meta 4.22810, -73.40782",21-Dec-21
541,Pale-vented Pigeon,Patagioenas cayennensis,"501027, Cumaral CO-Meta 4.22810, -73.40782",21-Dec-21
540,Spix's Guan,Penelope jacquacu,"501027, Cumaral CO-Meta 4.22810, -73.40782",21-Dec-21
539,Savanna Hawk,Buteogallus meridionalis,"501028, Cumaral CO-Meta 4.22957, -73.42724",21-Dec-21
538,Magpie Tanager,Cissopis leverianus,"501037, Restrepo CO-Meta 4.26402, -73.58398",21-Dec-21
